pathway	10M_3	11M_7	12M_5	13M_2	14M_4	15M_1	16M_3	17M_7	18M_6	19M_1	20M_2	21M_5	22M_4	23M_6	24M_5	25M_2	26M_4	27M_1	28M_3	29M_7	2M_3	30M_1	31M_6	32M_7	33M_3	34M_4	35M_5	36M_2	37M_7	38M_1	39M_6	3M_2	40M_5	41M_3	42M_4	43M_2	44M_7	45M_6	46M_5	47M_3	48M_1	49M_2	4M_4	50M_4	51M_7	52M_6	53M_3	54M_2	55M_5	56M_1	57M_4	58M_2	59M_3	5M_6	60M_6	61M_1	62M_4	63M_5	64M_7	65M_2	66M_1	67M_5	68M_3	69M_7	6M_1	70M_6	71M_4	7M_7	8M_5	9M_6
ARGSYNBSUB-PWY	7177.185585579809	17139.744945856215	18434.88648860734	18639.25028161011	9610.017795616463	26526.79719515053	26124.08304053194	27615.14152796076	8853.317826188162	27548.430058873888	14830.15619778005	9237.57081087042	4398.332744468048	1234.2004881336775	12663.072769489865	16875.529325442378	3807.124028219576	10015.339612422906	5911.738790311981	5981.172517521574	14103.595796237472	16164.119146079127	18425.09617147121	9367.223430401344	4286.73790757334	5133.034389737711	8724.152952169836	22668.295251029016	4615.561877692694	19199.031617087458	4592.593619022849	21318.197151419536	13668.097652227078	9993.34324051816	8512.465770653227	3871.8216567569734	4168.510282945003	15419.968073008016	12449.522176442195	12563.162312153903	11888.32658423214	4831.128236725681	4815.350271115809	12634.257260375989	12651.95588803357	9523.479826758734	15089.78376238945	32685.50767261392	7911.419790647762	9452.305219113843	4761.813497922479	8345.818748154297	8746.63810113924	8434.440411163449	7919.943622107763	24120.524034836508	8004.7647042015815	5374.444565273437	18704.029124351917	13912.8732681589	28091.38373047282	394.60331339062805	9311.719903403553	5924.36672517279	47204.4089174883	7066.437561493288	4196.438560426201	15916.966890148178	17986.82217061711	7610.690468572448
ARO-PWY	5832.041751164096	13937.93847678299	19635.6238619711	15463.598183964552	6032.923014927118	23096.738906737093	21651.768823339025	23893.324930576815	7462.478421636772	25833.589201054514	12352.373079233623	5765.855925601417	3773.8780298704955	751.757462172613	9837.547367822941	12279.47072293526	2183.935147781962	7841.3580189876475	4102.218376207535	4240.170849774071	11135.135812445684	10405.459971886663	13652.60034669186	5934.772714594455	2527.5098840400256	3491.767087500356	6320.977661958431	17682.43788989015	3790.8546586702632	14838.553899322607	2873.2838910210476	19127.68853590532	10051.167340694928	7219.821169636436	7629.597567728478	2195.343418917895	3223.548812108518	12005.750604128076	11257.62885442298	11644.90977488679	9087.481415373019	3302.7973412791603	4009.183948216905	7968.888661546716	9174.23419214909	6860.511247613301	12202.683384317295	27800.304213193995	6969.715221085019	6838.065099115095	2794.918129120512	6250.257979929304	6877.605501811702	6525.457971625819	5770.853129522657	20873.618600869842	5340.174330486886	3535.282965565115	14760.293764001353	10245.056680598924	19892.595793618657	399.32683981982063	6019.733850015181	4803.6686838493515	42019.53314058294	5203.981202257728	3066.6072845624676	13799.771643447457	15171.872920094347	5844.906208069491
ASPASN-PWY	8107.333755300416	20222.482762670552	31556.154221403336	19351.405730804632	7212.742388110104	26360.619252821412	26334.571475777735	26598.84763670313	10410.7819497909	28410.09747375024	15321.431992557089	7426.602839517891	4422.738036655684	903.5898746645719	13803.993143882639	15272.873489725009	2753.1034680186413	11878.996987884057	5994.070036238894	6344.098680399035	13944.81139847908	15263.878631226831	18070.687981852057	8201.077055095715	3091.0939538354523	5000.107694621455	9490.829680313514	24636.25959527569	4544.232623712657	25603.40782207785	4655.4048776074615	20733.531865545476	11522.97443100056	9031.528340581743	9142.966802352725	3254.4074754304243	4339.657899436779	15679.006380077835	13053.14907973912	14441.90328187463	12341.033982511177	4376.642954354312	5473.582648305024	9827.456866527084	10663.700733352734	9753.117752671304	15265.242704462198	32669.559855153726	8375.884898325407	11798.712119143673	3206.2720836640165	9905.37500344448	8079.2892233747425	7978.373191811074	7893.471764239194	27753.520795250774	6189.4367830809	4305.002305904117	18050.056395306965	13347.184832574052	24721.58997150601	1162.107981309929	8073.919012042214	5481.981391172736	43083.88576947923	7641.325567003126	4646.6081232489005	17251.485730672757	19460.659858922732	7994.058244929187
AST-PWY	25.945421245421247	63.64219976272397	178.29657954878618	596.7245650418041	511.27472372340185	1741.680992651487	458.41742611821957	64.1915788683776	73.35576311281508	374.61746998433966	425.2983293556086	65.02460868353153	48.81804649032405	71.6935770200345	144.69964664310953	390.9833430069161	166.40012477004692	335.76270080447574	94.84213412812822	69.58252800167486	451.79789220279935	29.87071074897239	1213.3743938387995	50.332278612118074	117.49150422413094	15.777880055133455	66.32635485656252	31.25354719029953	35.20836589964734	254.10634870279077	9.919457465643125	713.2734297597381	1710.8902821996346	643.0765992499627	902.6151339783564	45.14228214487334	4.729873417721519	256.9570648654286	886.4465375568338	1578.8718842137005	139.03142095063905	13.173333333333336	1583.0000000000002	32.75514718157378	2339.911265402484	990.9905316673604	36.932407933766534	207.31073751652855	40.32454642475987	254.07964887151098	246.70999999999998	16.789999999999996	3106.24	228.55405878422536	39.50931430836306	55.44332210998878	516.8619190928849	302.0828355832698	649.3011411954631	517.1096833285544	568.8560534590051	6.57	2.045454545454546	11.589459169603188	333.7597966812642	29.903651239467578	4.194764689501532	37.36260861183845	47.517905426848614	1718.9541359410807
BIOTIN-BIOSYNTHESIS-PWY	636.8422844378288	1783.3304511282633	1523.6054170946136	2412.7804660285474	1644.6369122523101	6327.003246085051	2644.701328425572	1618.0752816138804	375.2694555758642	2050.965975320963	1625.2723383641433	347.8188550832704	309.3928035470542	231.7383004444475	712.7315795832524	2063.379086915594	923.2321086497361	2132.5241264821757	512.1665883072699	334.9202989905292	2055.7833268039785	461.9549816286281	4072.824359398696	379.17429544767845	461.1765906243436	381.40180681464386	271.53747504452065	893.1964498627326	260.5044649905968	2341.56378818731	102.8676678759722	3309.0354122814315	5081.266380507393	2559.005567285885	2873.2613212144884	226.66877405654984	43.39550120122442	1089.8286066394319	2922.635749588521	4693.84545976658	737.255564047538	122.65092785827034	3861.814071858702	184.3666517329826	6272.997134205395	3142.355143323857	403.5810012561391	1162.9011005591276	592.6679736640485	1095.4851201387908	825.2645902123483	112.76366926397839	6896.021725671672	656.0104039136066	295.1592909865572	1024.3807006305974	1784.2138642528791	994.6942551646172	2640.0119652512058	1820.8105151452794	2718.004312410717	29.704561678001202	10.004063481324403	179.3890964971339	1827.7978165523452	98.4261008912185	40.95837289107951	2686.3136885144277	995.4102368862123	4610.889909691898
BRANCHED-CHAIN-AA-SYN-PWY	6722.414377363904	16580.0693650513	18891.950127630214	17564.966346135127	7898.44773852035	25724.184483038178	24535.158660689704	27588.847968080394	8514.074088663492	28622.62363139573	14113.881247064752	7477.21566168055	4342.923583641318	973.8845807545664	11469.757752672707	14175.871578421607	2958.482606001408	9074.38621823851	4997.0354531132625	5306.139820330041	12792.601515815	16090.900182580373	15974.693084111082	6788.298605024282	3193.573535200559	4475.186524987414	7631.502003710638	19693.031320217753	4149.251311282526	17393.883044346767	3538.124266219259	20892.67136209015	11898.534047275121	8363.34741487977	8339.609139627957	2927.074924162605	3685.1275328306933	14065.226737115912	12388.563914792714	12378.520982402455	10773.250809071116	3657.0590042329236	4511.747972346575	10599.926907308194	10508.514185206288	7859.971295266651	14409.815522011073	30803.113553294083	7927.182820302076	8293.969757098424	3404.1583901866265	7161.894564338883	7451.828138087652	7871.433212371519	6717.960609195	24259.058594290404	6533.2310108663505	4333.4524195150325	17324.729750565544	12104.393379914029	23769.85983193357	351.95644346074505	7526.8423071596435	5549.733893579226	47625.92475810477	6142.320264838071	3803.2700945048377	15549.141701635233	17079.539382590243	6736.83279543246
CALVIN-PWY	20151.49743993325	34936.45723803921	39350.37731573878	33244.00839214611	45241.97320312039	44008.124970540935	46583.43421588654	43884.80444767132	25391.726493952123	47832.07483095112	26015.544662264656	31111.728018248272	7525.145821290977	4294.348190614864	28302.72394007369	27425.606468784095	20847.33933869818	23139.357717761497	14243.241021654256	15439.598200773407	29283.342613742658	45153.69274151928	35699.05697643552	20820.53773390698	26700.592179797055	19528.196065143617	22269.295928076233	47777.9501743805	8309.605455062749	41918.17422363659	17309.15290181871	36231.33154213161	37612.088289739564	31559.181810272992	18491.077324788246	9457.273389739516	10327.12853479384	44296.637103667796	23217.88673069773	28799.600045036615	23763.455462025027	16034.275950096539	14228.929661546528	52080.91578906727	34917.007361455304	30610.765962375546	46219.13819603115	61549.1106142832	15590.720218982173	20393.927602902666	35642.10478095817	25312.8216247044	28993.804355000542	24038.872968336982	25766.445665108513	45225.63457344433	29391.52697300628	25525.466531953098	41824.0448699634	36264.57770261249	52221.04116083196	2260.4312618506956	35098.1734841992	11547.339393347114	69473.57435045515	16043.676587309516	13882.01142305071	35105.79140361847	36984.23561935647	18724.630157773216
CATECHOL-ORTHO-CLEAVAGE-PWY	2.9135033557046985	104.47668841252126	52.47671191742257	105.99170271809628	14.766705045815238	155.97708996239515	44.11088995372611	31.77044632684401	10.047322501915012	304.7691384533819	0.0	30.88720014040403	39.82206394375628	6.45683926856128	26.114713216957608	251.43949302167331	62.45576502284957	114.10416942002855	8.106758922068462	66.13862936918626	160.4738243950549	67.88408623658025	2.6387434554973823	14.379999999999997	25.612995904680673	25.944659806555162	26.25958971019212	53.293647099245895	20.367147945021415	323.8129967694322	13.888692707451778	282.635856870539	26.250164865901766	6.913470074849576	86.53704986229762	2.5899280575539567	19.08117631115327	55.77782893776967	2.505400650815412	11.285897783808233	28.097063071738084	4.864864864864865	3.9598063331065463	5.629217391304348	17.105549807374793	9.416146609722079	31.13597899552483	85.66280272831268	46.64990684117286	33.234249964870266	0.0	11.603983120855565	0.8373433115060804	118.81981392285394	25.42996431017733	37.49549816811188	50.55021571734868	0.0	23.40198904784696	22.428262863168225	123.503961747273	0.0	10.667600700525394	7.475178361886177	466.77257915562217	17.236088966066227	4.158960451977401	25.088676497563085	37.76054860259515	9.632531266490597
CENTFERM-PWY	24.943472773471807	1532.0438313991158	2875.972235301429	818.9342788998157	25.681509897840275	2739.0134598839427	1458.1487309082304	1327.7707564214625	167.7234161188427	1270.1611314899244	57.4811400052417	63.35083705286164	111.74637717112935	15.609525004222204	103.36946105876636	805.1908907037903	200.0081900541966	1234.8326542277478	165.05168475350376	113.58715139939612	1078.3091429716867	527.3936196058097	79.18522237442319	58.02860759442486	115.27161884547994	172.13522980261303	147.98352373350704	1099.1051050125136	460.10433951757443	2379.3520134611776	226.35773025467765	2604.6386666239246	318.00248090943995	207.0384206402627	238.85811995525657	16.234013857185516	227.68039433609042	316.0574665983523	181.40331957300083	47.416236386996744	179.39683492868122	195.31514253773202	22.918021037320013	22.661774055854295	202.47301875309464	29.770407116235983	90.67448413785172	1372.6085810549255	388.52036714815165	682.2242405953317	11.88265495563753	351.91919699222376	118.23003999861375	35.35965681940419	165.55677334068122	743.3536895010973	42.221982254001595	86.78178355569482	534.7453799611943	147.90696366010866	542.5941692945457	64.47155259555451	109.97000171949534	93.65726202244377	2703.7625121821866	36.62232148630776	5.734502008473876	486.1823504033274	873.5043151870813	3.4755244708047104
CHLOROPHYLL-SYN	82.13154995244449	6710.7513912227305	505.8901431949862	707.1825385029994	86.68737753099545	418.15109661114326	2324.216108318057	2586.6563230877837	302.96342656439464	1791.1513580868786	976.3547833278587	67.93841735352724	100.07752947778641	34.956785511713086	69.61294897178571	966.570748339306	484.7156951100512	188.75848389464286	177.21454672476443	325.5526624313511	1795.8790763008708	1337.0276219639352	140.91065909677138	215.58416179104915	96.75757021696097	251.73391072766788	71.2752705521582	599.1108074462254	320.5268317384495	681.9235884412102	159.5325523939371	4533.2897227891535	300.1936425512662	335.0442963241351	295.3180088595044	90.59088733160029	272.60729391437053	301.4936365484968	83.49779084917861	282.63290073514077	408.76813604125766	99.02279830122313	486.6873792629028	146.35638158676605	175.3621182860474	97.01065085312521	159.10067507805016	1062.9842435553264	534.2669537646065	128.29448404160547	41.25013187176503	281.3143683440416	34.59412457456438	173.1396864012836	111.75345104826513	2060.2124179473044	101.20091223533214	55.582795217565476	1052.2042013292323	132.0368361762214	1123.4153600606621	16.24759927057211	63.07598047369483	781.6664631927049	3131.9403842157576	41.052032790906594	80.52600864609995	1130.6950068816761	225.8433042848294	136.61866867249242
