,log2FoldChange,padj
SLC5A1,-1.124995586,0.023082282
GPR25,-1.600585283,0.023104111
LOC101748409,-1.306193334,0.023672979
LOC107052719,1.913593177,0.023892813
NKD1,-1.013595169,0.024008293
KIFC2,-1.186425712,0.024167822
ALPI,-1.630440231,0.024301461
LOC112533284,-1.339563639,0.024301461
GHSR,1.235994944,0.024908144
FSTL5,-1.263436683,0.024933945
ODF2L,1.331550452,0.025046914
MAMDC2,-1.494552475,0.025156567
LOC121106769,-2.366107473,0.025207193
HORMAD2,-1.160512886,0.025379595
C7H2ORF66,-1.00596916,0.025379632
NOX4,-1.503356654,0.025591775
L3MBTL1,-1.058954313,0.025908723
CYP4B7,-2.612685022,0.026070379
NTN3,-1.671988142,0.026070379
CYP2AC1,-4.113922928,0.02637836
GLP2R,-1.579513454,0.02637836
LOC121106926,-2.112980364,0.02637836
SERPINB5,1.340171783,0.02637836
SFRP2,-1.058041478,0.02637836
SHOX2,-2.905005711,0.02637836
SLC6A11,-1.782666614,0.02637836
TRABD2B,-1.305250906,0.02637836
PAX4,-1.797177678,0.026600019
LOC121108999,-2.726164044,0.026762618
MCF2L2,1.102194688,0.026914203
LOC121106536,-1.278642654,0.026932973
ALK,-1.026946723,0.026966582
SLIT3,-1.248112026,0.02705837
GDPD5,-1.328923871,0.027165602
CCDC141,-1.144984727,0.027228431
LOC107053813,-2.005792624,0.027339516
NFASC,-1.618739981,0.027344893
MYO1H,-1.326479043,0.027407044
MIOX,1.094550708,0.027439378
SELENOP2,-1.651692741,0.027439378
TNFAIP8L3,-1.290321681,0.027439378
AMY1AP,-1.321458885,0.027479056
ADGRD1,-2.007059291,0.027489805
CACNA1C,-1.282352502,0.027604499
LOC107054425,1.40684457,0.027604499
NRCAM,-1.580053964,0.027604499
LOC429249,-2.080617885,0.027752732
FRMD3,-1.660230985,0.027789373
PLAC9,-1.206625291,0.027840624
CHST9,1.713488846,0.028073881
PTPN14,-1.10774566,0.028176445
MXRA8,-1.294649815,0.028746153
PCDH15,-1.086471174,0.029405633
HDC,-1.094374815,0.029425264
GLIPR1L,1.059988661,0.029477149
CYP2C23b,-2.092834241,0.029648072
ME1,1.241005618,0.029648072
SCNN1B,1.234503121,0.029648072
SMARCD3,-1.164527281,0.029648072
LOC121113390,1.042702391,0.029660547
KBTBD11,-1.536934376,0.029760266
ETNPPL,-1.258422959,0.029879013
LOC107055390,1.136051207,0.029922644
MEX3A,-1.434730678,0.029922644
LOC107054748,-1.094345313,0.029962805
SLC7A2,-1.871589196,0.030013998
IFI6,1.649436088,0.030313635
SLC2A5,-1.401253158,0.030493562
ROBO2,-1.300615126,0.030566523
UROC1,-1.17780834,0.030566523
ADAMTS6,-1.276377016,0.030690154
PKIA,-1.909453335,0.030720418
IRAG1,-1.137475377,0.03107709
LOC107053542,-1.442858015,0.03107709
CFAP45,-1.415515159,0.031251412
CRYBA2,-1.02805549,0.031565049
PRIMA1,-1.523635667,0.031602412
LOC100857892,-1.869818234,0.031777854
NEUROD1,-1.17132639,0.032197472
LOC121111126,-1.13736647,0.032649275
LOC423474,-1.026123761,0.032862248
YLEC9,-2.91131131,0.032912846
GDF10,-1.832508065,0.03301812
SH3TC1,-1.630986797,0.03301812
MYL4,-1.823431341,0.033028814
LOC121110745,1.852666648,0.033129733
LRRTM3,-2.906192852,0.033184742
HRH1,-1.420014394,0.033317747
LOC124417946,-2.143527641,0.033317747
DACH1,-1.000417898,0.033710105
GLI1,-1.405899138,0.034150878
LOC107052357,-1.066442756,0.034287926
INHBE,-2.027833554,0.03438319
UPK3B,2.526473843,0.03438319
GHR,-1.190223291,0.034424004
LOC121106940,-2.144984497,0.034489412
GNLY,1.04376733,0.034524445
ARL2,1.152173126,0.034563475
LOC107053858,-2.733523498,0.035199537
LOC101751416,1.809787647,0.035233922
HOXB3,-1.03033563,0.035236362
TMEM121,-1.560885048,0.035363012
PDGFC,-1.103005833,0.035684799
REN,-1.744496556,0.035684799
SSPO,-1.374895762,0.035684799
LOC107056412,-1.103733653,0.035719266
LOC107049448,-2.104641369,0.035733208
LOC101748992,-1.960905988,0.03610554
CLEC3B,-1.637751865,0.036287291
GATSL2,-1.223786694,0.036743609
LOC101752077,-1.304779337,0.036743609
GRIP2,-1.254955926,0.037401025
LOC121106599,-1.003488991,0.037407325
SGK2,-1.367401068,0.037589315
NEUROG3,-1.170069682,0.037650605
KCNE2,-1.235127679,0.037711324
DGKB,-1.887571336,0.037732735
LEAP2,-1.591541334,0.038410935
STON1,-1.057390885,0.038670424
LOC112530253,-1.624146832,0.03881335
DLX1,-2.093844452,0.038849714
GALNT5,-1.094643752,0.038849714
CACNA1H,-1.073582816,0.038893885
KRT7,1.033055837,0.038947859
LOC107054227,-1.919859328,0.039150496
SGCD,-1.203076356,0.039276886
LOC107054398,-1.343010599,0.039512756
CRISPLD1,-1.039888556,0.039516989
CBLN3,-1.478022875,0.039581042
CL2,-2.032441632,0.039581042
LOC427353,-3.223317126,0.039736099
LAMA2,-1.774891412,0.039890593
CNNM1,-1.085687221,0.039939278
VEGFD,-1.732137846,0.039939278
SMOC1,-1.057257336,0.039988542
LOC107051667,1.203323632,0.040032913
OLFML3,-1.312539839,0.040068829
SSBP2,-1.132465363,0.040068829
MYH11,-1.269262198,0.040237198
ENOX1,-1.158991276,0.040257104
NR1D1,-1.309121226,0.040386558
LOC121108711,2.073962382,0.040513041
TGFBR2L,-1.278003414,0.040513041
EVPL,-1.527418881,0.040865518
COL25A1,-1.179670207,0.041008413
CYLY,2.012790796,0.041182525
H1F0,-1.529331829,0.041182525
LOC121106435,-1.774007636,0.041182525
LOC124417901,1.569303654,0.041850828
PLEKHG4,-1.055747951,0.041865321
NBEA,-1.679499035,0.041980755
GRK5,-1.139072829,0.042192279
PDLIM3,-1.434494592,0.042325679
RSPH14,-1.651182108,0.042325679
CPED1,-1.250251075,0.042333415
MAP3K7CL,-2.573487272,0.042403804
LAMB4,-1.634164179,0.042525626
LOC101751437,-2.758251097,0.042525626
HTR1D,1.480006133,0.042616994
AQP5,-1.317431819,0.042940488
LAMA1,-1.176082305,0.042940488
IL8L2,1.226704459,0.042996756
IRX6,-1.781850196,0.043027936
LOC112531940,-1.514169072,0.043337361
LOC121108548,-2.581683672,0.043516549
LOC107057175,-1.061545726,0.043563617
IL8L1,1.159350996,0.043595885
LOC112530791,-1.253632346,0.043718527
HOGA1,-1.078284104,0.043985092
LOC121111165,1.028167093,0.044503816
KHK,-1.321482013,0.044774021
AGMO,-3.746682799,0.045031689
BOLL,-1.229923246,0.045207547
CHIR-AB-487,-3.016821493,0.045301589
MDFIC,-1.0026624,0.045344881
HIST1H4D,1.133194666,0.045522475
LOC121111639,-1.185295818,0.045522475
GDF6,-1.540023264,0.045765984
C11orf87,-1.958016848,0.04622909
MAT2L,-1.56706489,0.046282424
PCDH7,-1.205578997,0.046286555
CFC1,-1.159593116,0.046442637
LOC124417677,-1.247105193,0.046543979
BAG2,-1.155004418,0.046544194
LOC100857428,-1.506304841,0.046554172
LOC101748229,1.045432087,0.046873361
SOSTDC1,-1.291292428,0.046906273
LOC107052241,1.374510019,0.046942077
LRAT,-1.089522371,0.047120021
C7orf62,-1.814790085,0.047297318
RHBDL3,-1.480146241,0.047644096
GAD1,-1.631331487,0.047644959
SH3PXD2A,-1.038101089,0.047785643
ENPP2,-1.246503977,0.048040953
NPY,1.678377192,0.048555684
LOC121110849,1.853077855,0.048595583
PTPRD,-1.244229349,0.048595583
CDON,-1.053173479,0.049023268
LOC121111295,1.108034785,0.049545431
HECW1,-1.422931778,0.049701178
PITX1,-1.150065948,0.049932154
