,log2FoldChange,padj
LOC107053809,-1.376924848,0.007456771
FMO4,-1.196972917,0.007556436
LOC121110565,-1.585927961,0.007641816
LOC420486,1.144440951,0.0076784
RFX6,-1.168922603,0.007756966
BPIFB3,-2.00743012,0.007884692
KCNG1,-1.531897797,0.007995503
LOC112530623,-1.467411492,0.007995503
ABCB5,1.219173514,0.008003538
PADI3,1.620162419,0.008003538
C8B,-1.673624721,0.008090259
LOC107056412,-1.688380253,0.008090259
CTSE,-1.672594615,0.008215898
J6367_mgp08,-1.254294199,0.008293982
LOC107052613,-2.179383203,0.008293982
LOC121106933,1.34965064,0.008293982
GYS2,-1.56506185,0.008357753
NALCN,-1.396375734,0.008468968
S100A10,1.318034385,0.008572765
SYT12,-1.23571122,0.008637069
GHRH,-1.219974353,0.008642315
MYOM2,-2.47419279,0.008663118
PRDM8,2.42375162,0.008663118
LOC771494,-1.134733924,0.008667257
LOC107055022,-2.468135477,0.00869332
HMGCS2,-1.362167528,0.008715157
PIGBOS1,1.176060498,0.008715157
CCK,-1.694917818,0.008737468
HBA1,-1.824394694,0.008737468
LOC107054729,-2.488146409,0.008777299
LOC101750420,-2.325775354,0.008902327
GIMAP7L2,2.017579702,0.00898703
LOC101750739,2.695713161,0.00898703
TNFSF15,1.10195104,0.00898703
LOC107052393,-1.155502789,0.008992435
WNT2,3.212268694,0.009078659
AMIGO2,-1.062934783,0.00914888
F8,1.628558566,0.009154255
FRMD3,1.463065639,0.009154255
MAFF,1.081510604,0.009317791
EDA,-1.046203063,0.00950609
SLC7A10,-3.212783032,0.009510137
PLEKHD1,-1.133292786,0.009682211
LOC124418402,-1.118807515,0.00976961
IL4I1,2.572934979,0.009826126
ACOD1,1.829310572,0.00998675
ABCB11,-1.520664781,0.010089019
LOC107053813,-1.223739274,0.010201734
CACNA2D1,-1.642444076,0.010363383
LOC112530086,1.572234859,0.010378209
LOC112530656,-1.530814437,0.010390258
RGCC,-2.157211758,0.010446877
MYO3B,-2.415346148,0.010570418
LOC101749597,-1.329383319,0.010677573
LOC107052934,-1.778173549,0.010821345
LOC112532999,-1.35078374,0.010824698
SAXO2,3.300507634,0.010824698
J6367_mgp04,-1.364456795,0.010860183
SGO2,-1.063720008,0.010860183
CACNA1B,-1.08234927,0.010916494
LOC124417069,1.083578968,0.01092739
LOC121107019,1.261988152,0.010968199
RASD1,1.631527369,0.010976436
LOC121107297,-1.567113425,0.011139072
SLC23A1,-1.819465885,0.011139072
HTR2A,-2.600954849,0.011264277
TM4SF18,-1.464881523,0.01127462
